Payer,Policy Category,Policy Type,Code,Code Description,Service Type,Policy or Diagnosis detail,Source,Policy,Annual Claim Paid,Category,,,,,,
United Healthcare,Clinical,NCCI,52318,Litholapaxy Comp/Lg > 2.5 Cm,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,504,698 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,87804,IAADIADOO INFLUENZA,QW,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,880,746 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,87804,IAADIADOO INFLUENZA,QW,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,961,289 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,52204,Cystourethroscopy With Biopsy,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,681,692 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,99460,1St Hosp/Birthing Center Care Per Day Nml Nb,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,479,430 ",Evaluation and Management,,,,,,
United Healthcare,Clinical,NCCI,11420,Exc B9 Lesion Mrgn Xcp Sk Tg S/N/H/F/G 0.5 Cm/<,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,770,491 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,11422,Exc B9 Lesion Mrgn Xcp Sk Tg S/N/H/F/G 1.1-2.0Cm,51,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,332,040 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,99407,Tobacco Use Cessation Intensive >10 Minutes,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,406,460 ",Evaluation and Management,,,,,,
United Healthcare,Clinical,NCCI,99407,Tobacco Use Cessation Intensive >10 Minutes,null,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,352,335 ",Evaluation and Management,,,,,,
United Healthcare,Clinical,NCCI,82570,Creatinine Other Source,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,246,111 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,82570,Creatinine Other Source,null,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,023,583 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,82570,Creatinine Other Source,90,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,774,695 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,82570,Creatinine Other Source,QW,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,147,209 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,29125,Application Short Arm Splint Forearm-Hand Static,50,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,793,961 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,77336,Continuing Medical Physics Consltj Pr Wk,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,614,923 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,52000,Cystourethroscopy,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,254,013 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,69209,Removal Impacted Cerumen Irrigation/Lvg Unilat,50,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,736,495 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,69209,Removal Impacted Cerumen Irrigation/Lvg Unilat,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,179,320 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,64400,INJECTION AA&/STRD TRIGEMINAL NERVE EACH BRANCH,50,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,323,780 ",Drugs,,,,,,
United Healthcare,Clinical,NCCI,43752,Naso/Oro-Gastric Tube Plmt Req Phys&Fluor Gdnce,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,253,157 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,36620,Artl Cathj/Cannulj Mntr/Transfusion Spx Prq,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,817,110 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,77012,Ct Guidance Needle Placement,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,140,296 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,85018,Blood Count Hemoglobin,QW,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,176,582 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,85018,Blood Count Hemoglobin,QW,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,504,815 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,85018,Blood Count Hemoglobin,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,847,579 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,85018,Blood Count Hemoglobin,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,620,904 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,77332,Tx Devices Design & Construction Simple,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,234,353 ",DME and Supplies,,,,,,
United Healthcare,Clinical,NCCI,72070,Radex Spine Thoracic 2 Views,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,372,981 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,72070,Radex Spine Thoracic 2 Views,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,866,109 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,72070,Radex Spine Thoracic 2 Views,TC,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,295,888 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,88344,Imhistochem/Cytchm Ea Multiplex Antibody Slide,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,962,504 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,88344,Imhistochem/Cytchm Ea Multiplex Antibody Slide,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,733,244 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,94640,Pressurized/Nonpressurized Inhalation Treatment,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,458,844 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,11106,INCISIONAL BIOPSY SKIN SINGLE LESION,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,351,846 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,97116,Ther Px 1/> Areas Ea 15 Min Gait Trainj W/Stair,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,347,896 ",Drugs,,,,,,
United Healthcare,Clinical,NCCI,G2011,Alcohol/sub misuse assess,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,692,626 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,36140,Intro Of Needle Or Intracatheter Upr/Lxtr Artery,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,994,981 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,73120,Radex Hand 2 Views,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,609,179 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,R0070,Transport portable x-ray,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,143,013 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,97112,Ther Px 1/> Areas Each 15 Min Neuromusc Reeduca,GP,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,590,930 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,97112,Ther Px 1/> Areas Each 15 Min Neuromusc Reeduca,GP,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,582,073 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,11302,Shvg Skn Lesion 1 Trunk/Arm/Leg Diam 1.1-2.0 Cm,76,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,607,013 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,94664,Demo&/Eval Of Pt Utiliz Aersl Gen/Neb/Inhlr/Ip,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,107,714 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,84403,Assay Of Testosterone Total,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,171,777 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,G0127,Trim nail(s),Q9,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,427,846 ",Medicare Advantage,,,,,,
United Healthcare,Clinical,NCCI,G0127,Trim nail(s),51,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,318,363 ",Medicare Advantage,,,,,,
United Healthcare,Clinical,NCCI,76770,Us Retroperitoneal Real Time W/Image Complete,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,148,769 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,76770,Us Retroperitoneal Real Time W/Image Complete,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,763,641 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,92201,OPSCPY EXTND RTA DRAWING & SCL DEPRSN I&R UNI/BI,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,574,666 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,96375,Therapeutic Injection Iv Push Each New Drug,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,676,537 ",Drugs,,,,,,
United Healthcare,Clinical,NCCI,74170,Ct Abdomen W/O & W/Contrast Material,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,188,347 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,76857,Us Pelvic Nonobstetric Image Dcmtn Limited/F/U,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,133,881 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,76857,Us Pelvic Nonobstetric Image Dcmtn Limited/F/U,TC,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,491,632 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,96138,PSYCL/NRPSYCL TST TECH 2+ TST 1ST 30 MIN,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,597,663 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,99282,EMERGENCY DEPARTMENT VISIT STRAIGHTFORWARD MDM,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,139,623 ",Evaluation and Management,,,,,,
United Healthcare,Clinical,NCCI,99348,HOME/RES VISIT EST PATIENT LOW MDM 30 MINUTES,null,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,823,944 ",Evaluation and Management,,,,,,
United Healthcare,Clinical,NCCI,64418,INJECTION AA&/STRD SUPRASCAPULAR NERVE,50,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,747,382 ",Drugs,,,,,,
United Healthcare,Clinical,NCCI,82310,Calcium Total,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,315,402 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,82310,Calcium Total,null,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,778,515 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,82310,Calcium Total,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,311,407 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,82310,Calcium Total,QW,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,655,447 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,88188,Flow Cytometry Interpj 9-15 Markers,null,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,809,723 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,87660,Iadna Trichomonas Vaginalis Direct Probe Tq,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,775,757 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,87081,Cul Prsmptv Pthgnc Organism Scrn W/Colony Estimj,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,238,691 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,87081,Cul Prsmptv Pthgnc Organism Scrn W/Colony Estimj,51,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,275,140 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,28086,Synovectomy Tendon Sheath Foot Flexor,80,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,272,325 ",Radiology,,,,,,
United Healthcare,Clinical,NCCI,92626,EVAL AUD FUNCJ CAND/PO SURG IMPLT DEV 1ST HR,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,600,979 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,73560,Radiologic Examination Knee 1/2 Views,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,035,399 ",Evaluation and Management,,,,,,
United Healthcare,Clinical,NCCI,73560,Radiologic Examination Knee 1/2 Views,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,221,287 ",Evaluation and Management,,,,,,
United Healthcare,Clinical,NCCI,G0445,High inten beh couns std 30m,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,578,475 ",Medicare Advantage,,,,,,
United Healthcare,Clinical,NCCI,81003,Urnls Dip Stick/Tablet Rgnt Auto W/O Microscopy,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,609,855 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,81003,Urnls Dip Stick/Tablet Rgnt Auto W/O Microscopy,null,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,022,978 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,81003,Urnls Dip Stick/Tablet Rgnt Auto W/O Microscopy,QW,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,384,927 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,86580,Skin Test Tuberculosis Intradermal,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,680,358 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,83519,Immunoassay Analyte Quant Radioimmunoassay,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,704,320 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,83519,Immunoassay Analyte Quant Radioimmunoassay,GA,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,461,894 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,74019,Radiologic Exam Abdomen 2 Views,TC,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,769,816 ",Evaluation and Management,,,,,,
United Healthcare,Clinical,NCCI,93280,Program Eval Implantable In Persn Dual Ld Pacer,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,402,658 ",DME and Supplies,,,,,,
United Healthcare,Clinical,NCCI,84520,Assay Of Urea Nitrogen Quantitative,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,174,334 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,84520,Assay Of Urea Nitrogen Quantitative,null,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,112,168 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,84520,Assay Of Urea Nitrogen Quantitative,90,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,792,108 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,96116,NEUROBEHAVIORAL STATUS XM PHYS/QHP 1ST HOUR,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,376,252 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,93291,INTERROG DEV EVAL SCRMS PHYS/QHP IN PERSON,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,770,032 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,85041,Blood Count Red Blood Cell Automated,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,959,233 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,82384,Catecholamines Fractionated,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,481,616 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,90832,Psychotherapy W/Patient 30 Minutes,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,631,956 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,51701,Insj Non-Ndwellg Bladder Catheter,null,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,201,175 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,88184,Flow Cytometry Cell Surf Marker Techl Only 1St,null,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,523,631 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,93971,Dup-Scan Xtr Veins Unilateral/Limited Study,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,011,780 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,93922,Non-Invas Physiologic Std Extremity Art 2 Level,TC,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,231,058 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,85025,Blood Count Complete Auto&Auto Difrntl Wbc,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,165,776 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,95972,ELEC ALYS IMPLT NPGT CPLX SP/PN PRGRMG,null,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,424,684 ",Medicine,,,,,,
United Healthcare,Clinical,NCCI,82040,Albumin Serum Plasma/Whole Blood,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,576,573 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,82040,Albumin Serum Plasma/Whole Blood,26,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$2,237,543 ",Laboratory,,,,,,
United Healthcare,Clinical,NCCI,99347,HOME/RES VISIT EST PATIENT SF MDM 20 MINUTES,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$1,029,458 ",Evaluation and Management,,,,,,
United Healthcare,Clinical,NCCI,11311,Shvg Skin Lesion 1 F/E/E/N/L/M Diam 0.6-1.0 Cm,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$4,687,992 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,34713,Perq Access & Closure Fem Art For Delivery Ndgft,50,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,594,734 ",Surgery,,,,,,
United Healthcare,Clinical,NCCI,G0179,Md recertification hha pt,INV_Unk,Modifier,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Modifier,"$3,311,660 ",Medicare Advantage,,,,,,
